cross_point,latlong_obj,sat_obj,eng_obj,tag,text,sat_diff,sat_deg,eng_hms,eng_km,RowNum
,"{""type"":""Point"", ""coordinates"":[93.0249946355823,-35.5177554881147]}",,,,"Flight simul A 35.518°S 93.025°E | -35.51775548811467, 93.02499463558227",,,,,1234
,"{""type"":""Point"", ""coordinates"":[93.0389678105353,-35.8748347948269]}",,,,"Flight simul B 35.875°S 93.039° E | -35.874834794826896, 93.03896781053533",,,,,1235
,"{""type"":""Point"", ""coordinates"":[99.9339463526454,-29.1277750468636]}",,,,"WSPR-A 29.128°S 99.934°E | -29.127775046863643, 99.93394635264544",,,,,1236
,"{""type"":""Point"", ""coordinates"":[95.2999409914052,-33.176757543323]}",,,,"WSPR-B 33.177°S 95.300°E | -33.176757543322985, 95.29994099140524",,,,,1237
,"{""type"":""Point"", ""coordinates"":[92.9098632745795,-34.6294446245644]}",,,,"Ocean 35°36'00.0""S 92°48'00.0""E | -34.629444624564364, 92.9098632745795",,,,,1238
,"{""type"":""Point"", ""coordinates"":[87.9547656623548,-32.5350015195158]}",,,,"IG 17-July 36°01'12.0""S 88°34'12.0""E | -32.53500151951579, 87.95476566235483",,,,,1239
,"{""type"":""Point"", ""coordinates"":[89.9588906196636,-34.1043856845898]}",,,,"July15 37°06'18.0""S 89°52'15.6""E | -34.104385684589765, 89.95889061966359",,,,,1240
,"{""type"":""Point"", ""coordinates"":[87.399978539451,-38.0818479620659]}",,,,"Simon Hardy 38°04'55.2""S 87°24'00.0""E | -38.081847962065886, 87.39997853945096",,,,,1241
,,"{""type"":""LineString"", ""coordinates"":[[93.59499,0.155], [93.532845,-1.822506], [93.346652,-3.792208], [93.037148,-5.746332], [92.605554,-7.677166], [92.053573,-9.57709], [91.383384,-11.438606], [90.597631,-13.254368], [89.699415,-15.017208], [88.692282,-16.720171], [87.580206,-18.356536], [86.367576,-19.919843], [85.059177,-21.403925], [83.660173,-22.802923], [82.176087,-24.111317], [80.612773,-25.323943], [78.976403,-26.436015], [77.273434,-27.443144], [75.510586,-28.341357], [73.694818,-29.127107], [71.833296,-29.797294], [69.933364,-30.349273], [68.002523,-30.780865], [66.048392,-31.090368], [64.078683,-31.27656], [62.10117,-31.338705], [60.123656,-31.27656], [58.153947,-31.090368], [56.199816,-30.780865], [54.268975,-30.349273], [52.369044,-29.797294], [50.507521,-29.127107], [50,-28.907484], [50,29.217484], [50.507521,29.437107], [52.071022,30], [72.131318,30], [73.694818,29.437107], [75.510586,28.651357], [77.273434,27.753144], [78.976403,26.746015], [80.612773,25.633943], [82.176087,24.421317], [83.660173,23.112923], [85.059177,21.713925], [86.367576,20.229843], [87.580206,18.666536], [88.692282,17.030171], [89.699415,15.327208], [90.597631,13.564368], [91.383384,11.748606], [92.053573,9.88709], [92.605554,7.987166], [93.037148,6.056332], [93.346652,4.102208], [93.532845,2.132506], [93.59499,0.155]]}",,sat,,3500,55,,,1242
,,"{""type"":""LineString"", ""coordinates"":[[94.494814,0.155], [94.430892,-1.879006], [94.23938,-3.904985], [93.921033,-5.914941], [93.477108,-7.900942], [92.909356,-9.85515], [92.220018,-11.769852], [91.411815,-13.637492], [90.487936,-15.4507], [89.452028,-17.202319], [88.308178,-18.885437], [87.060901,-20.49341], [85.71512,-22.019894], [84.276145,-23.458864], [82.749656,-24.80464], [81.141676,-26.051913], [79.458552,-27.195758], [77.706927,-28.231663], [75.893713,-29.155538], [74.026065,-29.963738], [72.111356,-30.653074], [70.157141,-31.220823], [68.171133,-31.664747], [66.16117,-31.983093], [64.135183,-32.174604], [62.10117,-32.238526], [60.067156,-32.174604], [58.04117,-31.983093], [56.031206,-31.664747], [54.045198,-31.220823], [52.090983,-30.653074], [50.176274,-29.963738], [50,-29.887458], [50,30], [74.658639,30], [75.893713,29.465538], [77.706927,28.541663], [79.458552,27.505758], [81.141676,26.361913], [82.749656,25.11464], [84.276145,23.768864], [85.71512,22.329894], [87.060901,20.80341], [88.308178,19.195437], [89.452028,17.512319], [90.487936,15.7607], [91.411815,13.947492], [92.220018,12.079852], [92.909356,10.16515], [93.477108,8.210942], [93.921033,6.224941], [94.23938,4.214985], [94.430892,2.189006], [94.494814,0.155]]}",,sat,,3600,54,,,1243
